"Series Data"
"C:\Data\SMARC_20170927\SMARC_20170927006_000000.STA"
"Broadband 153.6 kHz"
"Pings/Ens ="	8
"Time/Ping = 00:01.00"
"First Ensemble Date = 18/12/10"
"First Ensemble Time = 10:42:36.08"
"Ensemble Interval (s) = "	20,00
"1st Bin Range (m) = "	14,95
"Bin Size (m) ="	8,00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"BTM"	"NVE"	"NVN"	"NVM"	"NVD"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
1080	18	12	10	16	42	17	05		-1																																													37																																													-37																																													-12																																													37																																													358,50																																													72	-72	103	126	324,90	58,26706669	11,44158332	58,26708337	11,44155004
1081	18	12	10	16	42	37	07		0																																													-3																																													-39																																													27																																													3																																													180,00																																													85	-55	104	117	332,20	58,26708337	11,44155004	58,26709997	11,44153336
1082	18	12	10	16	42	57	08		25																																													55																																													-51																																													15																																													60																																													24,40																																													98	-55	69	88	321,70	58,26709997	11,44153336	58,26711665	11,44151668
1083	18	12	10	16	43	17	09		-45																																													4																																													-31																																													10																																													45																																													275,10																																													163	55	104	117	27,80	58,26711665	11,44151668	58,26713333	11,44153336
1084	18	12	10	16	43	38	00		-9																																													8																																													3																																													0																																													12																																													311,60																																													404	235	206	313	48,80	58,26715001	11,44153336	58,26716669	11,44161668
1085	18	12	10	16	43	58	01		78																																													34																																													-10																																													-24																																													85																																													66,40																																													1023	706	412	818	59,70	58,26718337	11,44163336	58,26725001	11,44186663
1086	18	12	10	16	44	18	02		-1																																													-24																																													-20																																													8																																													24																																													182,40																																													1559	1503	-240	1522	99,10	58,26726669	11,44191667	58,26719997	11,44238337
1087	18	12	10	16	44	38	03		52																																													-107																																													-46																																													22																																													119																																													154,10																																													3075	1703	-2166	2755	141,80	58,26718337	11,44245001	58,26679998	11,44296667
1088	18	12	10	16	44	58	04		-23																																													-40																																													-55																																													-4																																													46																																													209,90																																													4345	1902	-3644	4111	152,40	58,26675002	11,44303330	58,26613337	11,44361668
1089	18	12	10	16	45	18	05		-22																																													-44																																													-54																																													-16																																													49																																													206,60																																													4851	1829	-4434	4797	157,60	58,26604997	11,44366664	58,26533332	11,44423334
1090	18	12	10	16	45	38	06		-59	-112																																												-59	-106																																												-75	-33																																												-4	-9																																												83	154																																												225,00	226,60																																												5017	1449	-4744	4960	163,00	58,26525000	11,44429998	58,26448331	11,44473332
1091	18	12	10	16	45	58	08		-114	-97																																												-10	-104																																												-74	-25																																												4	-38																																												114	142																																												265,00	223,00																																												5125	616	-4985	5023	173,00	58,26439999	11,44475000	58,26358334	11,44494999
1092	18	12	10	16	46	18	09		-83	-62																																												-54	-107																																												-76	-27																																												9	-16																																												99	124																																												237,00	210,10																																												5185	652	-4985	5027	172,50	58,26350003	11,44496667	58,26268329	11,44516666
1093	18	12	10	16	46	39	04		-131	-106	-134																																											-82	-180	-70																																											-60	-44	-6																																											-11	-21	-29																																											155	209	151																																											238,00	210,50	242,40																																											5251	722	-5039	5090	171,80	58,26259998	11,44520002	58,26186664	11,44538334
1094	18	12	10	16	46	57	09		119	44	-9																																											-8	-101	-22																																											11	54	63																																											134	189	156																																											119	110	24																																											93,80	156,50	202,20																																											4860	612	-4950	4988	173,00	58,26176665	11,44540002	58,26088336	11,44560001
1095	18	12	10	16	47	19	00		-88	-52	-105																																											-113	-195	-134																																											-33	-21	-9																																											0	-12	8																																											143	202	170																																											217,90	194,90	218,10																																											3979	-443	-3934	3959	186,40	58,26081664	11,44561669	58,26025003	11,44546665
1096	18	12	10	16	47	37	05		-123	-139	-128																																											-62	-79	-5																																											-37	-12	-20																																											21	4	-6																																											138	160	128																																											243,20	240,40	267,80																																											3759	-306	-3829	3841	184,60	58,26018331	11,44541670	58,25950001	11,44534998
1097	18	12	10	16	47	58	06		-117	-217	-116																																											81	29	50																																											-26	-19	7																																											5	-18	-21																																											142	219	126																																											304,70	277,60	293,30																																											2824	1817	-2298	2930	141,70	58,25943329	11,44538334	58,25913331	11,44591668
1098	18	12	10	16	48	17	01		14	-48	2																																											103	148	118																																											-13	-10	-10																																											-13	-7	36																																											104	156	118																																											7,70	342,00	1,00																																											2281	2283	155	2288	86,10	58,25911663	11,44599999	58,25916667	11,44675001
1099	18	12	10	16	48	38	02		65	84	108																																											110	170	128																																											-10	7	10																																											2	-19	-8																																											128	190	167																																											30,60	26,30	40,20																																											2071	713	2089	2207	18,90	58,25920003	11,44681664	58,25953337	11,44698336
1100	18	12	10	16	48	59	03		73	91	128																																											61	156	70																																											-7	-4	10																																											6	-15	11																																											95	181	146																																											50,10	30,30	61,30																																											1864	-1048	1635	1942	327,30	58,25954997	11,44695000	58,25980000	11,44666669
1101	18	12	10	16	49	17	08		60	46	61																																											80	212	87																																											-10	-10	-6																																											1	2	14																																											100	217	106																																											36,90	12,20	35,00																																											1343	-775	1238	1460	328,00	58,25981668	11,44663333	58,26005003	11,44636670
1102	18	12	10	16	49	38	09		17	-6	58																																											102	204	124																																											-4	-7	-10																																											18	3	-6																																											103	204	137																																											9,50	358,30	25,10																																											781	-233	884	914	345,20	58,26006663	11,44635002	58,26018331	11,44628330
1103	18	12	10	16	49	57	04		43	7	78																																											105	192	107																																											-2	-4	-5																																											7	7	-2																																											113	192	132																																											22,30	2,10	36,10																																											606	-102	541	551	349,30	58,26019999	11,44628330	58,26029998	11,44626671
1104	18	12	10	16	50	18	05		52	52	93																																											83	184	78																																											-11	-7	-14																																											21	-12	-8																																											98	191	121																																											32,10	15,80	50,00																																											419	-256	88	271	289,10	58,26029998	11,44625003	58,26033334	11,44618331
1105	18	12	10	16	50	37	00		44	24	95																																											89	190	112																																											11	-4	4																																											-4	-18	8																																											99	192	147																																											26,30	7,20	40,30																																											436	-367	194	415	297,80	58,26033334	11,44616663	58,26038330	11,44603335
1106	18	12	10	16	50	58	02		21	-15	57																																											105	189	117																																											-2	0	-10																																											10	-8	-1																																											107	190	130																																											11,30	355,50	26,00																																											299	-408	155	436	290,80	58,26039998	11,44601667	58,26041666	11,44590000
1107	18	12	10	16	51	19	03		20	-28	62																																											87	156	109																																											-10	-10	-7																																											-28	20	11																																											89	158	125																																											12,90	349,80	29,60																																											226	-279	-132	309	244,60	58,26039998	11,44588332	58,26039998	11,44581668
1108	18	12	10	16	51	37	08		10	-57	40																																											116	175	123																																											-4	-11	-16																																											-5	0	-10																																											116	184	129																																											4,90	342,00	18,00																																											196	143	0	143	90,00	58,26038330	11,44580000	58,26039998	11,44586664
1109	18	12	10	16	51	58	09		17	-49	40																																											100	183	122																																											3	-7	-2																																											23	12	-6																																											101	189	128																																											9,60	345,00	18,20																																											122	93	177	200	27,80	58,26039998	11,44586664	58,26041666	11,44590000
1110	18	12	10	16	52	17	04		25	-27	54																																											105	193	128																																											-6	-18	-17																																											1	22	-2																																											108	195	139																																											13,40	352,00	22,90																																											86	-20	0	20	270,00	58,26041666	11,44590000	58,26041666	11,44588332
1111	18	12	10	16	52	38	05		67	9	59																																											97	170	144																																											-30	-23	1																																											-9	-17	5																																											118	170	156																																											34,60	3,00	22,30																																											148	-93	44	103	295,40	58,26041666	11,44588332	58,26043334	11,44585004
1112	18	12	10	16	52	57	00		37	106	88																																											96	28	104																																											-33	-147	-32																																											-30	-6	-34																																											103	110	136																																											21,10	75,20	40,20																																											162	-163	77	180	295,40	58,26043334	11,44585004	58,26045002	11,44580000
1113	18	12	10	16	53	18	01		23	5	195																																											105	179	131																																											-17	-33	-74																																											-9	-30	-132																																											107	179	235																																											12,40	1,60	56,10																																											186	-143	0	143	270,00	58,26045002	11,44580000	58,26045002	11,44574996
1114	18	12	10	16	53	39	02		25	-15	45																																											106	186	147																																											-18	-20	-5																																											4	9	12																																											109	187	154																																											13,30	355,40	17,00																																											199	-186	177	257	313,50	58,26045002	11,44574996	58,26048329	11,44570000
1115	18	12	10	16	53	57	08		16	-33	45																																											112	174	136																																											-32	-28	-31																																											-22	-13	15																																											113	177	143																																											8,10	349,30	18,30																																											216	-142	154	210	317,30	58,26048329	11,44570000	58,26051665	11,44564996
1116	18	12	10	16	54	18	09		-6	-39	46																																											103	187	141																																											1	-15	10																																											6	4	5																																											103	191	148																																											356,70	348,20	18,10																																											204	-70	133	150	332,20	58,26051665	11,44564996	58,26053333	11,44561669
1117	18	12	10	16	54	37	04		9	-49	-289																																											95	172	121																																											-30	-20	94																																											15	22	368																																											95	179	313																																											5,40	344,10	292,70																																											187	-82	309	320	345,20	58,26055001	11,44561669	58,26058337	11,44558333
1118	18	12	10	16	54	58	05		20	-286	-282																																											114	303	119																																											-17	81	86																																											123	185	195																																											116	417	306																																											10,00	316,70	292,90																																											87	-140	133	193	313,50	58,26058337	11,44556665	58,26059997	11,44554997
1119	18	12	10	16	55	17	00		158	108	231																																											126	186	135																																											-40	-43	-49																																											-116	-101	-132																																											202	215	268																																											51,40	30,10	59,70																																											122	61	-38	72	122,30	58,26059997	11,44553337	58,26059997	11,44558333
1120	18	12	10	16	55	38	01		-18	-41	8																																											101	185	148																																											-17	-16	-14																																											22	25	29																																											103	189	148																																											349,90	347,50	3,10																																											92	61	78	99	38,30	58,26061665	11,44558333	58,26059997	11,44560001
1121	18	12	10	16	55	59	02		22	-59	31																																											118	179	122																																											-1	0	7																																											-23	-10	-14																																											120	188	126																																											10,60	341,80	14,30																																											164	116	88	146	52,80	58,26059997	11,44560001	58,26063333	11,44563337
1122	18	12	10	16	56	17	07		-4	-35	45																																											117	173	134																																											-25	-31	-24																																											21	6	-6																																											117	177	141																																											358,00	348,60	18,60																																											116	-41	-39	56	226,50	58,26063333	11,44563337	58,26063333	11,44560001
1123	18	12	10	16	56	38	08		-27	-67	9																																											128	175	133																																											-6	-17	-8																																											-17	6	1																																											131	187	133																																											348,10	339,10	3,90																																											274	-210	-133	248	237,70	58,26063333	11,44560001	58,26061665	11,44553337
1124	18	12	10	16	56	57	03		-16	-95	-16																																											98	112	106																																											-12	-7	-4																																											-23	25	-29																																											99	147	107																																											350,70	319,70	351,40																																											344	-224	-232	323	224,00	58,26061665	11,44553337	58,26056669	11,44544997
1125	18	12	10	16	57	18	05		-45	-138	-38																																											290	103	300																																											48	-11	46																																											-143	-144	-180																																											293	172	302																																											351,20	306,70	352,80																																											660	512	44	514	85,10	58,26056669	11,44546665	58,26058337	11,44561669
1126	18	12	10	16	57	36	09		-92	-174	-88																																											91	56	98																																											-12	-9	-11																																											-13	-12	-15																																											129	183	132																																											314,70	287,80	318,10																																											714	693	-155	710	102,60	58,26058337	11,44564996	58,26055001	11,44586664
1127	18	12	10	16	57	58	01		-94	-205	-108																																											74	65	80																																											3	-2	0																																											-3	8	-11																																											120	215	134																																											308,20	287,60	306,50																																											688	550	-464	720	130,10	58,26055001	11,44590000	58,26046670	11,44605003
1128	18	12	10	16	58	19	02		-94	-223	-126																																											65	53	105																																											-1	-9	-15																																											-2	-11	3																																											114	229	164																																											304,70	283,40	309,80																																											576	280	-531	600	152,20	58,26046670	11,44606663	58,26038330	11,44613335
1129	18	12	10	16	58	37	07		-54	-149	-77																																											46	24	55																																											-6	-3	-8																																											7	-6	18																																											71	151	95																																											310,40	279,20	305,50																																											816	387	-503	635	142,40	58,26036670	11,44613335	58,26028330	11,44628330
1130	18	12	10	16	58	58	08		-74	-186	-101																																											-46	-99	-15																																											-19	7	-3																																											-24	1	-15																																											87	211	102																																											238,10	242,00	261,60																																											1836	1305	-928	1601	125,40	58,26028330	11,44631666	58,26013335	11,44668337
1131	18	12	10	16	59	17	03		-88	-150	-155																																											-104	-144	-53																																											-45	-19	-9																																											17	-20	18																																											136	208	164																																											220,20	226,20	251,10																																											2713	1529	-2166	2651	144,80	58,26009999	11,44675001	58,25971669	11,44723331
1132	18	12	10	16	59	38	05		-113	-177	-107																																											-28	-107	-29																																											-17	7	20																																											5	-8	-19																																											116	207	111																																											256,10	238,80	254,80																																											3127	1514	-2741	3131	151,10	58,25966665	11,44728335	58,25928334	11,44770001
1133	18	12	10	16	59	56	09		-77	-140	-106																																											1	-40	-8																																											-40	-1	-13																																											1	17	-6																																											77	146	106																																											270,70	254,10	265,70																																											3401	1997	-2668	3333	143,20	58,25924998	11,44776665	58,25875000	11,44845002
1134	18	12	10	17	00	18	01		-113	-131	-113																																											-42	-44	12																																											-33	-10	6																																											10	35	8																																											121	138	114																																											249,60	251,40	276,10																																											3560	1895	-2939	3497	147,20	58,25869996	11,44851666	58,25821666	11,44910004
1135	18	12	10	17	00	38	00		-47	-62																																												-59	-58																																												-42	-1																																												-2	-16																																												75	85																																												218,50	226,90																																												3666	1631	-3265	3650	153,50	58,25816670	11,44916668	58,25763336	11,44964998
1136	18	12	10	17	00	58	01		-68	-110																																												-13	-20																																												-42	-20																																												3	12																																												69	112																																												259,20	259,70																																												3709	1703	-3265	3683	152,50	58,25756664	11,44970002	58,25704998	11,45023336
1137	18	12	10	17	01	18	02		-31	-52																																												-14	-13																																												-47	-17																																												23	-1																																												34	54																																												245,70	256,00																																												3695	1848	-2956	3486	148,00	58,25700003	11,45028331	58,25651664	11,45086669
1138	18	12	10	17	01	38	03		-39																																													13																																													-45																																													-10																																													41																																													288,40																																													3577	1939	-3128	3680	148,20	58,25646669	11,45093333	58,25595003	11,45151663
1139	18	12	10	17	01	58	04		-19																																													30																																													-38																																													35																																													36																																													327,70																																													3189	1087	-2922	3118	159,60	58,25589999	11,45154999	58,25541669	11,45188333
1140	18	12	10	17	02	18	05		-18																																													17																																													-64																																													-10																																													25																																													313,40																																													2845	924	-2750	2901	161,40	58,25536665	11,45191669	58,25493330	11,45220000
1141	18	12	10	17	02	38	06		-12																																													35																																													-47																																													5																																													37																																													341,10																																													2588	616	-2475	2551	166,00	58,25490003	11,45223336	58,25448336	11,45241668
1142	18	12	10	17	02	58	07																																																																																																																																																																																																																																																																																2478	362	-2338	2366	171,20	58,25445000	11,45243336	58,25406670	11,45253335
1143	18	12	10	17	03	18	08																																																																																																																																																																																																																																																																																2728	1468	-2131	2588	145,40	58,25401666	11,45255003	58,25368331	11,45303333
1144	18	12	10	17	03	39	00																																																																																																																																																																																																																																																																																2405	2385	-77	2386	91,90	58,25365003	11,45311665	58,25366663	11,45376666
1145	18	12	10	17	03	56	08																																																																																																																																																																																																																																																																																1894	1105	1650	1986	33,80	58,25368331	11,45384998	58,25396670	11,45416665
1146	18	12	10	17	04	16	09																																																																																																																																																																																																																																																																																1660	-181	1546	1557	353,30	58,25398330	11,45416665	58,25425001	11,45410001
1147	18	12	10	17	04	37	00		-53																																													66																																													-11																																													8																																													85																																													321,20																																													1207	-127	1409	1415	354,90	58,25428337	11,45410001	58,25450004	11,45404997
1148	18	12	10	17	04	57	02		-38																																													25																																													-22																																													-7																																													45																																													303,30																																													648	109	756	764	8,20	58,25451664	11,45404997	58,25463331	11,45408333
1149	18	12	10	17	05	17	03		-8																																													-31																																													-24																																													-12																																													32																																													194,50																																													407	163	241	291	34,10	58,25463331	11,45410001	58,25468335	11,45413337
1150	18	12	10	17	05	37	04		-33																																													-12																																													-20																																													-13																																													35																																													250,00																																													426	272	344	438	38,30	58,25468335	11,45414997	58,25474999	11,45423337
1151	18	12	10	17	05	57	05		-28																																													0																																													-16																																													-9																																													28																																													270,00																																													541	417	378	563	47,80	58,25474999	11,45424997	58,25481663	11,45438332
1152	18	12	10	17	06	17	06		21																																													25																																													-1																																													-10																																													33																																													40,00																																													401	272	241	363	48,50	58,25481663	11,45440000	58,25486667	11,45448332
1153	18	12	10	17	06	37	07		-66																																													38																																													-4																																													-9																																													76																																													299,90																																													271	344	241	420	55,00	58,25486667	11,45450000	58,25490003	11,45459999
1154	18	12	10	17	06	57	08		-75																																													-7																																													58																																													86																																													75																																													264,70																																													162	109	0	109	90,00	58,25490003	11,45461667	58,25490003	11,45463335
1155	18	12	10	17	07	18	03																																																																																																																																																																																																																																																																																	20	0	20	90,00	58,25490003	11,45463335	58,25490003	11,45465003
1156	18	12	10	17	07	38	04		145																																													66																																													172																																																																																										159																																													65,50																																													178	102	116	154	41,30	58,25490003	11,45466663	58,25491671	11,45468331
1157	18	12	10	17	07	57	05		-24																																													17																																													15																																													-49																																													29																																													305,30																																													158	-163	172	237	316,50	58,25493330	11,45466663	58,25494998	11,45463335
1158	18	12	10	17	08	17	07		-105																																													4																																													-41																																													-10																																													105																																													272,20																																													225	-108	172	203	327,70	58,25494998	11,45463335	58,25498334	11,45459999
1159	18	12	10	17	08	37	08		-79																																													-4																																													-35																																													-25																																													79																																													267,10																																													365	-218	275	351	321,70	58,25498334	11,45458331	58,25503330	11,45453336
1160	18	12	10	17	08	57	09		-29																																													4																																													-17																																													-5																																													29																																													277,90																																													439	-326	240	405	306,40	58,25503330	11,45451668	58,25508334	11,45441668
1161	18	12	10	17	09	18	00		-6																																													9																																													-10																																													-42																																													11																																													326,30																																													305	-200	275	340	324,10	58,25510002	11,45441668	58,25513329	11,45434996
1162	18	12	10	17	09	38	01		-22																																													12																																													-25																																													-8																																													25																																													298,60																																													420	-236	241	337	315,60	58,25513329	11,45433336	58,25518333	11,45426665
1163	18	12	10	17	09	58	02		-37																																													2																																													10																																													4																																													37																																													273,10																																													319	-272	310	412	318,70	58,25518333	11,45424997	58,25523337	11,45418333
1164	18	12	10	17	10	18	03		-44																																													45																																													3																																													-18																																													63																																													315,60																																													243	-163	206	263	321,70	58,25524997	11,45418333	58,25526665	11,45413337
1165	18	12	10	17	10	38	04		5																																													23																																													6																																													-20																																													24																																													12,30																																													575	-236	413	475	330,30	58,25526665	11,45411669	58,25533337	11,45404997
1166	18	12	10	17	10	58	05		-57																																													16																																													-28																																													18																																													59																																													285,70																																													1483	326	1444	1480	12,70	58,25534997	11,45403329	58,25560000	11,45416665
1167	18	12	10	17	11	18	06		-34																																													40																																													-29																																													5																																													52																																													319,60																																													1073	979	481	1091	63,80	58,25561668	11,45420001	58,25568331	11,45450000
1168	18	12	10	17	11	38	08		-14																																													-5																																													-59																																													18																																													15																																													250,30																																													1469	1304	-344	1349	104,80	58,25568331	11,45453336	58,25561668	11,45493334
1169	18	12	10	17	11	58	09		-18																																													34																																													-34																																													-13																																													38																																													332,10																																													2473	1124	-2063	2349	151,40	58,25560000	11,45498330	58,25524997	11,45533333
1170	18	12	10	17	12	19	00		8																																													-5																																													-34																																													-17																																													9																																													122,00																																													2627	-1244	-2127	2464	210,30	58,25520001	11,45531665	58,25490003	11,45495002
1171	18	12	10	17	12	36	08		26																																													-8																																													-53																																													-32																																													27																																													107,10																																													3430	-2428	-2303	3347	226,50	58,25484999	11,45488330	58,25448336	11,45413337
1172	18	12	10	17	12	57	00																																																																																																																																																																																																																																																																																4022	-3171	-2200	3860	235,20	58,25445000	11,45403329	58,25408329	11,45305001
1173	18	12	10	17	13	17	01																																																																																																																																																																																																																																																																																4341	-3842	-1994	4328	242,60	58,25405002	11,45293334	58,25371667	11,45174998
1174	18	12	10	17	13	37	02																																																																																																																																																																																																																																																																																4436	-3806	-2063	4329	241,50	58,25368331	11,45163330	58,25334996	11,45045003
1175	18	12	10	17	13	57	03		44	-388	-919	-985	-758	-817																																								-63	-4	400	718	626	470																																								11	88	-59	-9	-18	-266																																								-20	2	14	-226	-41																																									77	388	1002	1219	983	943																																								145,10	269,40	293,50	306,10	309,60	299,90																																								4476	-3914	-1959	4377	243,40	58,25331668	11,45031667	58,25300002	11,44911664
1176	18	12	10	17	14	17	04		-20	-936	-1143	-891	-1032	-1137																																								-6	592	878	798	883	1011																																								26	-6	-116	55	66	-16																																								-17	-60	43	-8	-71																																									21	1108	1441	1196	1358	1521																																								253,30	302,30	307,50	311,80	310,60	311,60																																								4250	-3462	-2407	4216	235,20	58,25296666	11,44898336	58,25256667	11,44793336
1177	18	12	10	17	14	37	05		-157	-970	-938	-879	-894	-862	-1005		-913																																					52	715	891	870	729	625	981		1142																																					27	27	-49	5	-77	-125	-149		-101																																					2	61	-27	68	108	422	36																																							165	1205	1294	1237	1154	1065	1404		1462																																					288,30	306,40	313,50	314,70	309,20	305,90	314,30		321,40																																					3450	-2428	-2509	3492	224,10	58,25251663	11,44783337	58,25206669	11,44701663
1178	18	12	10	17	14	57	06		-276	-855	-815	-889	-897	-936																																								229	752	818	881	896	803																																								4	-87	-40	-10	-7	-36																																								-4	4	-17	-51	70	135																																								359	1139	1155	1252	1268	1233																																								309,70	311,30	315,10	314,70	315,00	310,60																																								2895	-1976	-2029	2832	224,20	58,25203333	11,44695000	58,25171666	11,44635002
1179	18	12	10	17	15	17	07		-463	-797	-845	-779	-892	-891	-683																																							331	604	693	755	840	858	990																																							19	-49	61	75	79	50	91																																							28	-19	7	-14	-26	26																																								569	1000	1093	1085	1225	1237	1203																																							305,60	307,20	309,40	314,10	313,30	313,90	325,40																																							2574	-1704	-1960	2597	221,00	58,25168330	11,44628330	58,25136663	11,44576664
1180	18	12	10	17	15	37	08		-586	-715	-729	-769	-788	-747	-761	-784	-976																																					404	595	692	687	738	750	740	529	768																																					2	-108	14	14	2	22	27	-64	-368																																					-46	-73	-34	-15	-79	-82	-63	0	28																																					712	930	1005	1031	1080	1059	1061	946	1242																																					304,60	309,80	313,50	311,80	313,10	315,10	314,20	304,00	308,20																																					2334	-1450	-1857	2356	218,00	58,25131668	11,44571668	58,25103337	11,44528334
1181	18	12	10	17	15	57	09		-666	-685	-816	-795	-805	-851	-837	-731																																						591	719	793	776	769	862	824	852																																						-20	-10	88	108	153	229	311	405																																						-29	-35	-55	-9	-43	-41	-28	52																																						890	993	1138	1111	1113	1211	1175	1123																																						311,60	316,40	314,20	314,30	313,70	315,40	314,60	319,40																																						2196	-888	-1994	2183	204,00	58,25100001	11,44523330	58,25066666	11,44500003
1182	18	12	10	17	16	18	00		-339	-341	-361	-379	-388	-386	-383	-397	-319	-385	-331	-362	-351	-369	-405		-746																													311	333	381	424	411	444	482	459	405	466	489	486	413	419	576		1012																													2	-55	-3	17	9	-4	2	-9	-4	4	-42	-23	-58	-25	-20		-1645																													-45	-10	-53	-27	16	-19	5	28	-38	-60	17	-69	-50	-90																																460	477	525	569	565	588	616	607	516	604	590	606	542	558	704		1257																													312,50	314,30	316,50	318,20	316,60	319,00	321,50	319,10	321,80	320,40	325,90	323,30	319,60	318,60	324,90		323,60																													1042	254	-1031	1062	166,20	58,25064998	11,44500003	58,25048335	11,44508335
1183	18	12	10	17	16	38	02		121	166	168	179	198																																									-80	-57	-23	25	-23																																									3	18	53	50	63																																									33	-16	7	-31	25																																									145	176	170	181	199																																									123,50	109,00	97,80	82,00	96,60																																									395	109	-584	594	169,50	58,25046667	11,44510003	58,25038335	11,44510003
1184	18	12	10	17	16	58	03																																																																																																																																																																																																																																																																																	36	-482	483	175,70	58,25038335	11,44508335	58,25030004	11,44511671
1185	18	12	10	17	17	18	04		255	325	346	318	332	296	290	324	322	433	274	370	401	273	251																															-271	-221	-184	-184	-218	-150	-208	-226	-227	-255	-230	-171	-157	-158	-199																															-15	6	59	80	70	87	53	79	28	12	1	-17	-36	-24	-19																															-8	-23	-13	-5	-9	-16	8	-28	17	-78	-43	-1	56	39	37																															372	393	392	367	397	332	357	395	394	503	358	408	431	315	320																															136,70	124,20	118,00	120,10	123,30	116,90	125,60	124,90	125,20	120,50	130,00	114,80	111,40	120,10	128,40																															470	18	-585	585	178,20	58,25028336	11,44511671	58,25020004	11,44513330
1186	18	12	10	17	17	38	05		33	66	75	117	111	66	140	44	89	64	94	133	14	4	-67	73	91														-784															125	210	205	202	181	190	233	219	173	179	173	220	341	295	215	146	324														1279															79	104	122	129	147	133	108	96	77	54	11	70	135	84	74	87	74														-3040															-94	-60	-112	-98	-34	-77	-15	-70	-45	-26	-38	36	-98	-114	22																															129	220	218	233	212	201	272	223	195	190	197	257	341	295	225	163	337														1500															14,80	17,40	20,10	30,10	31,50	19,20	31,00	11,40	27,20	19,70	28,50	31,20	2,40	0,80	342,70	26,60	15,70														328,50															243	109	-309	328	160,60	58,25020004	11,44513330	58,25016668	11,44516666
